Inmunno efficiency,Max.cells
0.0,542.0
0.02040816326530612,330.0
0.04081632653061224,315.0
0.061224489795918366,272.0
0.08163265306122448,283.0
0.1020408163265306,604.0
0.12244897959183673,354.0
0.14285714285714285,460.0
0.16326530612244897,537.0
0.18367346938775508,391.0
0.2040816326530612,402.0
0.22448979591836732,450.0
0.24489795918367346,436.0
0.26530612244897955,242.0
0.2857142857142857,553.0
0.3061224489795918,251.0
0.32653061224489793,314.0
0.3469387755102041,385.0
0.36734693877551017,612.0
0.3877551020408163,375.0
0.4081632653061224,328.0
0.42857142857142855,485.0
0.44897959183673464,503.0
0.4693877551020408,447.0
0.4897959183673469,660.0
0.5102040816326531,358.0
0.5306122448979591,347.0
0.5510204081632653,387.0
0.5714285714285714,372.0
0.5918367346938775,524.0
0.6122448979591836,546.0
0.6326530612244897,413.0
0.6530612244897959,485.0
0.673469387755102,599.0
0.6938775510204082,634.0
0.7142857142857142,601.0
0.7346938775510203,474.0
0.7551020408163265,588.0
0.7755102040816326,690.0
0.7959183673469387,728.0
0.8163265306122448,817.0
0.836734693877551,741.0
0.8571428571428571,765.0
0.8775510204081632,761.0
0.8979591836734693,922.0
0.9183673469387754,834.0
0.9387755102040816,897.0
0.9591836734693877,911.0
0.9795918367346939,1024.0
1.0,1026.0
