Inmunno efficiency,Max.cells
0.0,649.0
0.02040816326530612,654.0
0.04081632653061224,660.0
0.061224489795918366,648.0
0.08163265306122448,658.0
0.1020408163265306,638.0
0.12244897959183673,674.0
0.14285714285714285,675.0
0.16326530612244897,697.0
0.18367346938775508,683.0
0.2040816326530612,670.0
0.22448979591836732,698.0
0.24489795918367346,685.0
0.26530612244897955,690.0
0.2857142857142857,724.0
0.3061224489795918,663.0
0.32653061224489793,711.0
0.3469387755102041,694.0
0.36734693877551017,742.0
0.3877551020408163,745.0
0.4081632653061224,715.0
0.42857142857142855,726.0
0.44897959183673464,721.0
0.4693877551020408,731.0
0.4897959183673469,727.0
0.5102040816326531,769.0
0.5306122448979591,752.0
0.5510204081632653,767.0
0.5714285714285714,793.0
0.5918367346938775,802.0
0.6122448979591836,786.0
0.6326530612244897,809.0
0.6530612244897959,805.0
0.673469387755102,801.0
0.6938775510204082,817.0
0.7142857142857142,832.0
0.7346938775510203,817.0
0.7551020408163265,824.0
0.7755102040816326,857.0
0.7959183673469387,855.0
0.8163265306122448,860.0
0.836734693877551,881.0
0.8571428571428571,888.0
0.8775510204081632,896.0
0.8979591836734693,901.0
0.9183673469387754,913.0
0.9387755102040816,944.0
0.9591836734693877,950.0
0.9795918367346939,957.0
1.0,993.0
